country,field,year,estimated_investment,complete
Taiwan,Finance,2021,31,True
Slovenia,Finance,2017,0,True
Uruguay,Finance,2025,0,False
Indonesia,Finance,2023,4,True
Canada,Gaming,2019,4,True
Ireland,Gaming,2024,0,True
France,Gaming,2022,8,True
Brazil,Gaming,2018,0,True
Germany,Gaming,2016,1,True
Estonia,Gaming,2023,1,True
Sweden,Gaming,2017,1,True
Germany,General purpose,2023,2135,True
Ireland,General purpose,2022,255,True
Argentina,General purpose,2022,11,True
Spain,General purpose,2023,507,True
Slovakia,General purpose,2015,2,True
Hungary,General purpose,2024,27,True
Denmark,General purpose,2018,636,True
Denmark,General purpose,2020,129,True
Denmark,General purpose,2023,143,True
Taiwan,General purpose,2023,85,True
Indonesia,General purpose,2022,34,True
United States,General purpose,2021,71692,True
Estonia,General purpose,2021,53,True
Thailand,General purpose,2022,13,True
Poland,General purpose,2023,97,True
Mexico,General purpose,2023,137,True
Cyprus,General purpose,2022,2,True
Australia,Hardware,2018,14,True
Iceland,Hardware,2022,10,True
Taiwan,Hardware,2020,35,True
United Arab Emirates,Hardware,2018,8,True
Indonesia,Hardware,2017,1,True
Indonesia,Hardware,2022,9,True
Ghana,Hardware,2023,0,True
Netherlands,Hardware,2018,758,True
New Zealand,Hardware,2016,8,True
Ireland,Hardware,2017,1,True
Romania,Hardware,2024,2,True
Japan,Hardware,2018,111,True
Latvia,Hardware,2021,0,True
Georgia,Hardware,2025,0,False
Portugal,Hardware,2015,2,True
Portugal,Hardware,2016,0,True
Portugal,Hardware,2025,21,False
Belgium,Hardware,2019,82,True
Belgium,Hardware,2022,2,True
Poland,Healthcare and Life Sciences,2025,13,False
Romania,Healthcare and Life Sciences,2024,2,True
Kenya,Healthcare and Life Sciences,2020,2,True
Portugal,Healthcare and Life Sciences,2015,1,True
Portugal,Healthcare and Life Sciences,2017,1,True
Turkey,Healthcare and Life Sciences,2023,3,True
Ireland,Healthcare and Life Sciences,2021,8,True
India,Healthcare and Life Sciences,2021,164,True
Bulgaria,Healthcare and Life Sciences,2024,1,True
Mexico,Healthcare and Life Sciences,2021,1,True
Italy,Healthcare and Life Sciences,2022,1,True
Nigeria,Healthcare and Life Sciences,2024,3,True
Chile,Healthcare and Life Sciences,2023,0,True
Saudi Arabia,Healthcare and Life Sciences,2022,1,True
Norway,Healthcare and Life Sciences,2021,4,True
Israel,Information Technology,2025,898,False
Australia,Information Technology,2020,157,True
Colombia,Information Technology,2016,0,True
Saudi Arabia,Information Technology,2017,13,True
Thailand,Information Technology,2016,0,True
India,Information Technology,2020,12249,True
India,Information Technology,2022,1848,True
United Arab Emirates,Information Technology,2018,8,True
United Arab Emirates,Information Technology,2021,814,True
Austria,Information Technology,2021,101,True
Egypt,Information Technology,2022,0,True
Burkina Faso,Lending and Investments,2023,0,True
Israel,Lending and Investments,2019,1,True
South Korea,Lending and Investments,2018,1,True
Philippines,Lending and Investments,2021,1,True
United Kingdom,Lending and Investments,2023,120,True
Canada,Lending and Investments,2018,3,True
Japan,Lending and Investments,2017,1,True
United States,Lending and Investments,2016,176,True
Thailand,Manufacturing,2019,3,True
France,Manufacturing,2021,25,True
Iceland,Manufacturing,2016,1,True
Norway,Manufacturing,2020,75,True
Spain,Manufacturing,2024,12,True
Canada,Manufacturing,2020,85,True
Canada,Manufacturing,2024,405,True
Austria,Manufacturing,2025,286,False
Italy,Manufacturing,2015,0,True
Canada,Media and Entertainment,2025,117,False
Finland,Media and Entertainment,2020,10,True
Italy,Media and Entertainment,2018,3,True
Italy,Media and Entertainment,2025,8,False
Belgium,Media and Entertainment,2023,81,True
Netherlands,Media and Entertainment,2025,1,False
Luxembourg,Media and Entertainment,2017,1,True
Luxembourg,Media and Entertainment,2021,272,True
Malaysia,Media and Entertainment,2025,4,False
Russia,Media and Entertainment,2016,1,True
Indonesia,Media and Entertainment,2018,2,True
Spain,"Military, public safety and government",2020,0,True
South Korea,"Military, public safety and government",2025,5,False
Netherlands,"Military, public safety and government",2025,6,False
Brazil,"Military, public safety and government",2020,0,True
United States,"Military, public safety and government",2022,1331,True
Switzerland,"Military, public safety and government",2022,3,True
Australia,"Military, public safety and government",2025,15,False
Oman,"Mobile, platforms & Internet services",2025,1,False
South Korea,"Mobile, platforms & Internet services",2016,51,True
Egypt,"Mobile, platforms & Internet services",2022,0,True
Egypt,"Mobile, platforms & Internet services",2025,0,False
Finland,"Mobile, platforms & Internet services",2024,7,True
Spain,"Mobile, platforms & Internet services",2025,1637,False
Slovakia,"Mobile, platforms & Internet services",2024,5,True
France,"Mobile, platforms & Internet services",2022,648,True
India,"Mobile, platforms & Internet services",2020,12252,True
Kazakhstan,"Mobile, platforms & Internet services",2022,1,True
Vietnam,"Mobile, platforms & Internet services",2023,4,True
Iceland,"Mobile, platforms & Internet services",2015,0,True
Belgium,"Mobile, platforms & Internet services",2016,64,True
Norway,"Mobile, platforms & Internet services",2016,1,True
Norway,"Mobile, platforms & Internet services",2024,22,True
Spain,NLP,2019,4,True
Czechia,NLP,2023,0,True
United States,NLP,2016,533,True
France,NLP,2015,92,True
Israel,Navigation and mapping,2015,24,True
Israel,Navigation and mapping,2016,2,True
Finland,Navigation and mapping,2018,0,True
United Kingdom,Navigation and mapping,2016,0,True
Norway,Navigation and mapping,2021,7,True
New Zealand,Navigation and mapping,2020,0,True
Estonia,Other,2018,0,True
Indonesia,Other,2020,7,True
South Korea,Other,2025,6,False
Netherlands,Other,2020,4,True
Italy,Other,2023,0,True
Belgium,Other,2021,208,True
Vietnam,Other,2023,2,True
Russia,Other,2015,0,True
Norway,Other,2018,5,True
Brazil,Other,2021,39,True
Singapore,Other,2020,552,True
Sweden,Other,2017,1,True
South Africa,Privacy and Security,2021,0,True
South Korea,Privacy and Security,2024,9,True
United Arab Emirates,Privacy and Security,2022,12,True
Ireland,Privacy and Security,2017,0,True
Portugal,Privacy and Security,2016,3,True
Estonia,Privacy and Security,2018,2,True
Brazil,Professional services,2024,83,True
Colombia,Professional services,2021,0,True
Sri Lanka,Professional services,2023,0,True
India,Professional services,2016,33,True
Sweden,Professional services,2020,23,True
Ukraine,Professional services,2020,2,True
Iran,Professional services,2018,0,True
Poland,Professional services,2018,4,True
Czechia,Professional services,2016,0,True
Czechia,Professional services,2023,60,True
China (mainland),Real estate,2021,270,True
Norway,Real estate,2022,1,True
South Africa,Real estate,2023,1,True
Switzerland,Real estate,2021,24,True
New Zealand,Real estate,2016,136,True
Japan,Real estate,2020,6,True
Japan,Real estate,2022,23,True
Japan,Real estate,2025,10,False
Sweden,Real estate,2020,4,True
Croatia,Real estate,2024,0,True
Netherlands,Real estate,2016,4,True
Norway,Robotics,2020,11,True
South Korea,Robotics,2021,18,True
Switzerland,Robotics,2018,7,True
United Arab Emirates,Robotics,2025,2,False
Japan,Robotics,2022,22,True
Ukraine,Robotics,2020,0,True
United States,"Sales, retail, commerce, marketing",2021,18969,True
Czechia,"Sales, retail, commerce, marketing",2015,1,True
Uruguay,"Sales, retail, commerce, marketing",2017,0,True
Spain,"Sales, retail, commerce, marketing",2023,23,True
Saudi Arabia,"Sales, retail, commerce, marketing",2020,13,True
Mexico,"Sales, retail, commerce, marketing",2025,1,False
Belgium,"Sales, retail, commerce, marketing",2022,19,True
New Zealand,"Sales, retail, commerce, marketing",2025,44,False
United Kingdom,"Sales, retail, commerce, marketing",2023,311,True
Ukraine,"Sales, retail, commerce, marketing",2019,4,True
Cyprus,"Sales, retail, commerce, marketing",2015,1,True
United Arab Emirates,"Sales, retail, commerce, marketing",2023,14,True
Russia,"Sales, retail, commerce, marketing",2020,4,True
Brazil,"Sales, retail, commerce, marketing",2017,91,True
Brazil,"Sales, retail, commerce, marketing",2023,11,True
Germany,"Sales, retail, commerce, marketing",2024,526,True
Chile,"Sales, retail, commerce, marketing",2025,3,False
Germany,Semiconductor,2020,3,True
Netherlands,Semiconductor,2023,7,True
Israel,Semiconductor,2020,31,True
United Kingdom,Simulation,2025,37,False
Finland,Software,2015,131,True
Finland,Software,2022,2723,True
Uganda,Software,2020,0,True
France,Software,2021,2239,True
Luxembourg,Software,2023,1,True
Germany,Software,2024,3213,True
Slovenia,Software,2021,0,True
Iceland,Software,2022,16,True
Cyprus,Software,2016,1,True
Netherlands,Software,2018,1176,True
Uruguay,Software,2022,3,True
South Africa,Software,2021,38,True
Switzerland,Software,2020,2177,True
Ireland,Software,2019,131,True
Taiwan,Software,2017,13,True
Zambia,Software,2019,1,True
United States,Speech Recognition,2025,270,False
Hungary,Sports,2021,1,True
Turkey,Sports,2023,0,True
Israel,Sports,2018,33,True
Poland,Sports,2020,4,True
United States,Sports,2023,507,True
France,Sports,2023,0,True
Portugal,Sports,2023,7,True
Saudi Arabia,Telecommunications,2021,1,True
Canada,Telecommunications,2017,3,True
India,Telecommunications,2023,48,True
Brazil,Telecommunications,2024,46,True
Israel,Telecommunications,2022,0,True
United Kingdom,Telecommunications,2025,68,False
Japan,Telecommunications,2018,6,True
Israel,Transportation,2023,290,True
Bulgaria,Transportation,2019,2,True
Saudi Arabia,Transportation,2024,1,True
Spain,Transportation,2024,2,True
Iceland,Transportation,2023,2,True
Nigeria,Transportation,2019,0,True
Nigeria,Transportation,2023,0,True
Lebanon,Transportation,2017,0,True
Sri Lanka,Agriculture,2020,0,True
Turkey,Agriculture,2021,3,True
Algeria,Agriculture,2022,0,True
Israel,Agriculture,2020,23,True
Canada,Agriculture,2024,23,True
Switzerland,Agriculture,2019,8,True
United Kingdom,Agriculture,2022,40,True
Australia,All,2020,514,True
Spain,All,2021,786,True
Zimbabwe,All,2020,0,True
Serbia,All,2024,44,True
Trinidad and Tobago,All,2018,0,True
Ukraine,All,2015,0,True
Bahrain,All,2021,190,True
France,All,2016,788,True
France,All,2024,6075,True
United Kingdom,All,2021,6854,True
Hungary,All,2025,5,False
Sweden,All,2018,120,True
Uruguay,All,2025,12,False
South Africa,All,2025,203,False
Romania,All,2025,63,False
Lebanon,All,2025,0,False
Taiwan,All,2020,164,True
Dominican Republic,All,2024,0,True
United Arab Emirates,All,2022,354,True
Finland,All,2025,484,False
Netherlands,All,2020,386,True
Qatar,All,2024,4,True
Turkey,All,2019,12,True
Indonesia,All,2018,39,True
Belgium,Biotechnology,2019,1,True
Thailand,Biotechnology,2020,0,True
Japan,Biotechnology,2021,4,True
Taiwan,Biotechnology,2019,13,True
South Korea,Biotechnology,2018,4,True
Hungary,Community and Lifestyle,2021,0,True
Pakistan,Community and Lifestyle,2016,0,True
Israel,Community and Lifestyle,2019,11,True
Canada,Community and Lifestyle,2021,111,True
United States,Community and Lifestyle,2024,1542,True
Bangladesh,Community and Lifestyle,2023,0,True
Bangladesh,Community and Lifestyle,2024,0,True
Hungary,Computer Vision,2020,1,True
Poland,Computer Vision,2018,2,True
France,Computer Vision,2021,2,True
India,Computer Vision,2024,9,True
Spain,Consumer goods,2024,3,True
Nigeria,Consumer goods,2020,0,True
Ukraine,Consumer goods,2017,0,True
Australia,Consumer goods,2024,47,True
New Zealand,Consumer goods,2020,2,True
Poland,Consumer goods,2020,2,True
Turkey,Consumer goods,2022,11,True
Japan,Consumer goods,2019,37,True
Saudi Arabia,Consumer goods,2023,2,True
Saudi Arabia,Consumer goods,2024,0,True
United States,Consumer goods,2024,2297,True
Brazil,Cyber Security,2022,17,True
Kazakhstan,Data and analytics,2023,2,True
Poland,Data and analytics,2023,93,True
Japan,Data and analytics,2019,414,True
South Korea,Data and analytics,2018,88,True
Brazil,Data and analytics,2017,118,True
United States,Data and analytics,2022,51517,True
Luxembourg,Data and analytics,2017,1,True
Panama,Data and analytics,2023,0,True
Netherlands,Data and analytics,2018,1539,True
Seychelles,Data and analytics,2023,25,True
China (mainland),Data and analytics,2017,1805,True
Nigeria,Data and analytics,2018,5,True
Austria,Data and analytics,2015,1,True
Canada,Data and analytics,2021,1598,True
Pakistan,Data and analytics,2024,3,True
Zambia,Data and analytics,2019,1,True
Colombia,Data and analytics,2017,1,True
Germany,Data and analytics,2018,787,True
Sweden,Data and analytics,2020,3519,True
Bulgaria,Education,2018,0,True
Switzerland,Education,2016,0,True
United Kingdom,Education,2024,104,True
Australia,Education,2018,1,True
China (mainland),Education,2016,193,True
Poland,Education,2016,0,True
Poland,Education,2021,3,True
Romania,Education,2017,0,True
France,Education,2020,24,True
Saudi Arabia,Education,2019,80,True
Ireland,Energy and natural resources,2021,3,True
Spain,Energy and natural resources,2023,7,True
United Arab Emirates,Energy and natural resources,2018,1,True
Singapore,Energy and natural resources,2018,3,True
Spain,Finance,2023,274,True
Ghana,Finance,2025,0,False
Zimbabwe,Finance,2024,1,True
Bulgaria,Finance,2023,1,True
Seychelles,Finance,2015,0,True
Belgium,Finance,2019,3,True
Taiwan,Finance,2024,10,True
United Kingdom,Finance,2018,301,True
Mauritius,Finance,2016,1,True
Turkey,Finance,2022,10,True
Italy,Finance,2024,33,True
Argentina,Finance,2021,2,True
Singapore,Finance,2018,47,True
Singapore,Finance,2024,436,True
Estonia,Finance,2019,1,True
India,Finance,2025,101,False
Taiwan,Gaming,2019,9,True
Israel,Gaming,2022,34,True
Canada,Gaming,2022,945,True
Chile,Gaming,2025,0,False
Sri Lanka,Gaming,2019,1,True
United Arab Emirates,Gaming,2025,5,False
Singapore,General purpose,2015,67,True
Paraguay,General purpose,2021,0,True
Ghana,General purpose,2023,12,True
Spain,General purpose,2017,146,True
Australia,General purpose,2020,188,True
Czechia,General purpose,2021,52,True
Vietnam,General purpose,2021,25,True
Sweden,General purpose,2018,68,True
New Zealand,General purpose,2016,138,True
China (mainland),General purpose,2025,7003,False
Russia,General purpose,2015,2,True
Israel,General purpose,2018,570,True
Kazakhstan,Hardware,2023,1,True
Greece,Hardware,2019,4,True
Netherlands,Hardware,2023,367,True
Canada,Hardware,2024,603,True
Japan,Hardware,2024,127,True
Israel,Hardware,2023,491,True
Qatar,Hardware,2025,0,False
Côte d'Ivoire,Healthcare and Life Sciences,2022,0,True
Germany,Healthcare and Life Sciences,2018,9,True
Germany,Healthcare and Life Sciences,2022,239,True
Finland,Healthcare and Life Sciences,2015,1,True
Finland,Healthcare and Life Sciences,2025,6,False
Vietnam,Healthcare and Life Sciences,2022,0,True
Mexico,Healthcare and Life Sciences,2022,7,True
Saudi Arabia,Healthcare and Life Sciences,2017,1,True
Norway,Healthcare and Life Sciences,2016,0,True
Czechia,Healthcare and Life Sciences,2017,1,True
Mexico,Information Technology,2017,0,True
Poland,Information Technology,2017,15,True
Nigeria,Information Technology,2024,5,True
Singapore,Information Technology,2025,124,False
Sri Lanka,Information Technology,2022,0,True
Turkey,Information Technology,2024,74,True
Latvia,Information Technology,2017,0,True
Brazil,Information Technology,2020,287,True
Sweden,Information Technology,2024,25,True
China (mainland),Information Technology,2017,649,True
Bulgaria,Information Technology,2025,32,False
Chile,Information Technology,2023,4,True
Israel,Lending and Investments,2022,29,True
Singapore,Lending and Investments,2024,15,True
Turkey,Lending and Investments,2020,0,True
India,Lending and Investments,2015,0,True
Russia,Lending and Investments,2016,0,True
South Korea,Manufacturing,2015,2,True
Thailand,Manufacturing,2024,1,True
Norway,Manufacturing,2019,2,True
Canada,Manufacturing,2023,50,True
Sri Lanka,Manufacturing,2025,0,False
China (mainland),Media and Entertainment,2021,487,True
Czechia,Media and Entertainment,2023,1,True
Brazil,Media and Entertainment,2020,1,True
France,Media and Entertainment,2016,4,True
Germany,Media and Entertainment,2021,184,True
Romania,Media and Entertainment,2017,0,True
Spain,Media and Entertainment,2023,7,True
United Kingdom,Media and Entertainment,2016,179,True
United Kingdom,"Military, public safety and government",2016,1,True
Australia,"Military, public safety and government",2016,2,True
Mexico,"Military, public safety and government",2017,0,True
China (mainland),"Military, public safety and government",2018,8,True
China (mainland),"Military, public safety and government",2024,14,True
South Korea,"Mobile, platforms & Internet services",2018,27,True
Serbia,"Mobile, platforms & Internet services",2023,43,True
Poland,"Mobile, platforms & Internet services",2023,7,True
United Arab Emirates,"Mobile, platforms & Internet services",2022,207,True
Switzerland,"Mobile, platforms & Internet services",2022,620,True
Argentina,"Mobile, platforms & Internet services",2016,0,True
Bulgaria,"Mobile, platforms & Internet services",2019,1,True
United States,"Mobile, platforms & Internet services",2019,21251,True
Sri Lanka,"Mobile, platforms & Internet services",2018,0,True
Denmark,"Mobile, platforms & Internet services",2025,17,False
Bangladesh,"Mobile, platforms & Internet services",2021,0,True
Latvia,"Mobile, platforms & Internet services",2021,0,True
Cyprus,"Mobile, platforms & Internet services",2023,1,True
Portugal,"Mobile, platforms & Internet services",2025,6,False
Australia,"Mobile, platforms & Internet services",2015,1,True
Saudi Arabia,NLP,2025,502,False
Brazil,NLP,2016,0,True
Taiwan,NLP,2016,1,True
Taiwan,NLP,2023,6,True
Canada,NLP,2019,29,True
Poland,Navigation and mapping,2018,0,True
China (mainland),Navigation and mapping,2019,4,True
South Africa,Other,2017,0,True
Estonia,Other,2020,2,True
Sri Lanka,Other,2025,0,False
Germany,Other,2018,484,True
Kenya,Other,2024,0,True
United Kingdom,Other,2025,447,False
Russia,Other,2018,1,True
Finland,Other,2018,385,True
Czechia,Other,2022,1,True
Norway,Other,2022,3,True
Zimbabwe,Other,2024,1,True
Hungary,Other,2016,1,True
Denmark,Other,2024,272,True
Colombia,Other,2016,0,True
South Korea,Privacy and Security,2025,28,False
Turkey,Privacy and Security,2019,0,True
Turkey,Privacy and Security,2020,0,True
Brazil,Privacy and Security,2021,35,True
Australia,Privacy and Security,2022,17,True
Belgium,Privacy and Security,2017,3,True
Poland,Privacy and Security,2017,2,True
Poland,Privacy and Security,2024,1,True
Estonia,Privacy and Security,2024,11,True
Israel,Professional services,2021,595,True
Turkey,Professional services,2025,2,False
Australia,Professional services,2017,3,True
South Africa,Professional services,2022,106,True
France,Professional services,2017,205,True
Tunisia,Professional services,2022,0,True
Finland,Professional services,2025,1,False
Germany,Professional services,2023,779,True
El Salvador,Professional services,2025,5,False
Poland,Professional services,2019,83,True
Austria,Real estate,2021,8,True
Turkey,Real estate,2025,0,False
Norway,Real estate,2015,0,True
Finland,Real estate,2020,120,True
South Korea,Real estate,2020,9,True
Germany,Real estate,2022,174,True
Peru,Real estate,2025,0,False
Belgium,Real estate,2025,1,False
India,Real estate,2015,0,True
Canada,Robotics,2016,4,True
India,Robotics,2024,29,True
Portugal,"Sales, retail, commerce, marketing",2025,7,False
Czechia,"Sales, retail, commerce, marketing",2019,10,True
Sweden,"Sales, retail, commerce, marketing",2018,33,True
Denmark,"Sales, retail, commerce, marketing",2022,93,True
Mexico,"Sales, retail, commerce, marketing",2020,26,True
Belgium,"Sales, retail, commerce, marketing",2020,83,True
United Kingdom,"Sales, retail, commerce, marketing",2016,336,True
Colombia,"Sales, retail, commerce, marketing",2019,5,True
Malaysia,"Sales, retail, commerce, marketing",2021,62,True
Cyprus,"Sales, retail, commerce, marketing",2023,1,True
Israel,"Sales, retail, commerce, marketing",2020,242,True
South Korea,"Sales, retail, commerce, marketing",2020,8,True
Estonia,"Sales, retail, commerce, marketing",2025,0,False
Chile,"Sales, retail, commerce, marketing",2021,3,True
Singapore,Semiconductor,2022,25,True
Netherlands,Semiconductor,2024,14,True
Switzerland,Semiconductor,2020,2,True
Greece,Software,2018,2,True
Peru,Software,2021,1,True
United Kingdom,Software,2023,3081,True
Colombia,Software,2017,1,True
Georgia,Software,2023,0,True
Austria,Software,2019,109,True
Sweden,Software,2024,119,True
Sri Lanka,Software,2023,4,True
Portugal,Software,2016,5,True
Ukraine,Software,2024,282,True
Kazakhstan,Software,2025,5,False
Qatar,Software,2024,4,True
Canada,Software,2022,15780,True
France,Speech Recognition,2015,0,True
Denmark,Sports,2019,1,True
United States,Sports,2020,807,True
Japan,Sports,2021,12,True
Bulgaria,Sports,2019,0,True
Pakistan,Telecommunications,2022,1,True
Turkey,Telecommunications,2023,1,True
Australia,Telecommunications,2025,0,False
Taiwan,Telecommunications,2021,0,True
Italy,Transportation,2018,0,True
Russia,Transportation,2018,26,True
Netherlands,Transportation,2022,106,True
Saudi Arabia,Transportation,2016,56,True
Colombia,Transportation,2015,0,True
Finland,Agriculture,2020,2,True
Ukraine,Agriculture,2016,0,True
Slovenia,Agriculture,2022,3,True
Spain,Agriculture,2016,2,True
Australia,Agriculture,2020,5,True
Serbia,Agriculture,2018,0,True
Denmark,Agriculture,2021,2,True
Chile,Agriculture,2019,0,True
Chile,Agriculture,2023,8,True
Kenya,Agriculture,2018,1,True
Italy,Agriculture,2025,0,False
United Kingdom,Agriculture,2025,8,False
Malaysia,All,2021,155,True
Spain,All,2016,167,True
Colombia,All,2020,10,True
France,All,2023,4155,True
United Kingdom,All,2024,6666,True
Belgium,All,2015,157,True
Belgium,All,2023,672,True
Canada,All,2023,3313,True
Uruguay,All,2021,109,True
Slovakia,All,2024,30,True
Philippines,All,2018,3,True
United Arab Emirates,All,2020,41,True
Argentina,All,2020,3,True
Norway,All,2021,463,True
Uganda,All,2020,0,True
Finland,Biotechnology,2020,1,True
United States,Biotechnology,2020,2512,True
Slovenia,Biotechnology,2017,0,True
Singapore,Biotechnology,2018,6,True
Israel,Community and Lifestyle,2020,32,True
Sweden,Community and Lifestyle,2020,13,True
Brazil,Community and Lifestyle,2017,1,True
United Arab Emirates,Community and Lifestyle,2025,0,False
Ethiopia,Community and Lifestyle,2023,0,True
Bulgaria,Community and Lifestyle,2016,0,True
Colombia,Computer Vision,2022,0,True
Russia,Computer Vision,2021,0,True
Turkey,Computer Vision,2025,2,False
United Kingdom,Computer Vision,2019,105,True
Israel,Computer Vision,2019,36,True
Israel,Computer Vision,2022,41,True
Taiwan,Computer Vision,2019,15,True
Poland,Computer Vision,2020,1,True
Australia,Computer Vision,2020,1,True
Australia,Computer Vision,2023,13,True
China (mainland),Computer Vision,2020,70,True
India,Computer Vision,2022,47,True
United States,Computer Vision,2020,2520,True
Netherlands,Computer Vision,2019,2,True
Colombia,Consumer goods,2024,3,True
Sri Lanka,Consumer goods,2023,0,True
Sri Lanka,Consumer goods,2024,1,True
South Korea,Consumer goods,2020,23,True
Kenya,Consumer goods,2022,0,True
Czechia,Consumer goods,2017,1,True
Canada,Cyber Security,2015,44,True
Canada,Cyber Security,2025,59,False
Switzerland,Cyber Security,2016,8,True
Switzerland,Cyber Security,2021,135,True
Japan,Data and analytics,2018,290,True
Malaysia,Data and analytics,2017,0,True
Bosnia and Herzegovina,Data and analytics,2016,0,True
Portugal,Data and analytics,2017,159,True
Bulgaria,Data and analytics,2025,39,False
Bangladesh,Data and analytics,2021,2,True
Pakistan,Data and analytics,2016,0,True
France,Data and analytics,2023,2518,True
Switzerland,Data and analytics,2015,358,True
Thailand,Data and analytics,2015,0,True
Thailand,Data and analytics,2023,10,True
Romania,Data and analytics,2024,6,True
Taiwan,Data and analytics,2017,12,True
India,Data and analytics,2015,229,True
Hungary,Data and analytics,2018,6,True
Bulgaria,Education,2015,0,True
India,Education,2016,12,True
Mexico,Education,2021,0,True
Estonia,Education,2021,2,True
Hungary,Education,2022,0,True
Tunisia,Education,2020,0,True
France,Education,2022,195,True
Iraq,Education,2020,0,True
Lebanon,Education,2023,0,True
United Arab Emirates,Education,2021,1,True
Canada,Energy and natural resources,2015,6,True
France,Energy and natural resources,2019,61,True
Nigeria,Energy and natural resources,2022,0,True
United States,Facial Recognition,2015,50,True
United States,Facial Recognition,2019,1,True
Spain,Finance,2020,3,True
France,Finance,2021,293,True
China (mainland),Finance,2021,384,True
Ireland,Finance,2021,392,True
Portugal,Finance,2019,1,True
Portugal,Finance,2025,30,False
Belgium,Finance,2016,1,True
Poland,Finance,2020,7,True
Botswana,Finance,2024,1,True
Italy,Finance,2022,14,True
New Zealand,Finance,2019,1,True
Argentina,Finance,2016,0,True
Switzerland,Finance,2022,161,True
Romania,Gaming,2024,1,True
United Kingdom,Gaming,2015,2,True
Estonia,Gaming,2021,5,True
Nigeria,Gaming,2023,2,True
Singapore,Gaming,2015,2,True
Netherlands,Gaming,2016,2,True
New Zealand,Gaming,2023,13,True
Greece,General purpose,2024,2,True
Senegal,General purpose,2024,5,True
Austria,General purpose,2015,1,True
Austria,General purpose,2022,23,True
Germany,General purpose,2019,624,True
Germany,General purpose,2022,2315,True
Jordan,General purpose,2019,0,True
Jordan,General purpose,2021,0,True
Chile,General purpose,2016,0,True
United Arab Emirates,General purpose,2024,1969,True
Luxembourg,General purpose,2025,3,False
New Zealand,General purpose,2019,211,True
Estonia,General purpose,2016,8,True
Pakistan,General purpose,2021,4,True
Bulgaria,General purpose,2023,4,True
India,General purpose,2025,2051,False
Australia,Hardware,2021,84,True
Kazakhstan,Hardware,2020,0,True
Kuwait,Hardware,2023,4,True
Lithuania,Hardware,2019,3,True
New Zealand,Hardware,2018,30,True
Denmark,Hardware,2021,2,True
Portugal,Hardware,2019,11,True
Belgium,Hardware,2020,1,True
Brazil,Healthcare and Life Sciences,2025,26,False
Côte d'Ivoire,Healthcare and Life Sciences,2024,0,True
Belgium,Healthcare and Life Sciences,2024,84,True
Switzerland,Healthcare and Life Sciences,2023,153,True
Slovenia,Healthcare and Life Sciences,2021,0,True
Slovenia,Healthcare and Life Sciences,2023,20,True
France,Healthcare and Life Sciences,2015,8,True
Lithuania,Healthcare and Life Sciences,2025,0,False
Indonesia,Healthcare and Life Sciences,2018,0,True
Spain,Information Technology,2021,314,True
Spain,Information Technology,2022,182,True
Norway,Information Technology,2016,0,True
Norway,Information Technology,2025,60,False
Bahrain,Information Technology,2020,0,True
Lithuania,Information Technology,2025,11,False
France,Information Technology,2017,231,True
North Macedonia,Information Technology,2024,0,True
Japan,Information Technology,2025,138,False
Sri Lanka,Information Technology,2024,5,True
Estonia,Information Technology,2020,6,True
Estonia,Information Technology,2021,40,True
Croatia,Information Technology,2023,0,True
Austria,Information Technology,2023,94,True
Iran,Information Technology,2020,0,True
China (mainland),Information Technology,2015,119,True
Australia,Lending and Investments,2021,386,True
Belgium,Lending and Investments,2023,2,True
China (mainland),Lending and Investments,2020,53,True
Brazil,Lending and Investments,2019,15,True
Portugal,Lending and Investments,2022,1,True
Switzerland,Lending and Investments,2022,143,True
United Kingdom,Lending and Investments,2022,158,True
Canada,Lending and Investments,2022,1010,True
Germany,Lending and Investments,2022,59,True
Japan,Lending and Investments,2021,15,True
South Korea,Manufacturing,2022,22,True
Iceland,Manufacturing,2021,2,True
China (mainland),Manufacturing,2019,737,True
Sweden,Media and Entertainment,2021,2631,True
New Zealand,Media and Entertainment,2022,2,True
Israel,Media and Entertainment,2022,163,True
Hungary,Media and Entertainment,2021,1,True
Singapore,Media and Entertainment,2020,0,True
Russia,Media and Entertainment,2019,1,True
United States,Media and Entertainment,2015,831,True
Taiwan,Media and Entertainment,2020,9,True
Romania,Media and Entertainment,2021,0,True
United Kingdom,Media and Entertainment,2024,125,True
India,"Military, public safety and government",2024,1,True
Iceland,"Military, public safety and government",2021,1,True
Iceland,"Military, public safety and government",2023,2,True
Germany,"Military, public safety and government",2021,144,True
South Korea,"Mobile, platforms & Internet services",2019,197,True
South Korea,"Mobile, platforms & Internet services",2023,222,True
Uruguay,"Mobile, platforms & Internet services",2017,0,True
United Kingdom,"Mobile, platforms & Internet services",2022,1014,True
Switzerland,"Mobile, platforms & Internet services",2023,29,True
Uganda,"Mobile, platforms & Internet services",2023,0,True
France,"Mobile, platforms & Internet services",2016,212,True
Netherlands,"Mobile, platforms & Internet services",2016,540,True
Netherlands,"Mobile, platforms & Internet services",2018,380,True
Romania,"Mobile, platforms & Internet services",2024,2,True
Ecuador,"Mobile, platforms & Internet services",2021,0,True
Pakistan,"Mobile, platforms & Internet services",2024,0,True
Czechia,"Mobile, platforms & Internet services",2016,0,True
Belgium,"Mobile, platforms & Internet services",2015,89,True
Norway,"Mobile, platforms & Internet services",2022,7,True
Netherlands,NLP,2019,5,True
